name,genre_1,price,tier,total_votes,pos_ratio,p_bayes,p_ml,b_rating,score_finale
Castlevania: Lords of Shadow 2,action,mid_price,mostly_positive,2869,83.3,0.708,0.68,0.825,0.7595
Slender: The Arrival,horror,budget,very_positive,5046,88.5,0.666,0.616,0.878,0.7594
Omensight: Definitive Edition,action,mid_price,very_positive,568,86.6,0.708,0.68,0.824,0.7593
Corpse Party,horror,mid_price,very_positive,498,92.2,0.643,0.684,0.855,0.7593
ShootMania Storm,action,mid_price,very_positive,749,86.5,0.708,0.665,0.831,0.7587
X-Morph: Defense,tower_defense,mid_price,very_positive,878,93.2,0.635,0.631,0.884,0.7587
Geneshift,action,mid_price,mostly_positive,750,83.1,0.727,0.695,0.806,0.7587
oO,indie,budget,very_positive,866,91.5,0.669,0.624,0.871,0.7586
Adventures of Pip,action,mid_price,very_positive,196,89.8,0.727,0.695,0.806,0.7584
LEGO® Marvel Super Heroes 2,lego,mid_price,mostly_positive,1138,76.4,0.773,0.738,0.76,0.7582
Shadwen,stealth,mid_price,mostly_positive,766,76.6,0.773,0.738,0.76,0.7581
A Gummy's Life,physics,mid_price,mostly_positive,68,82.4,0.773,0.738,0.76,0.7578
Slash It,indie,budget,very_positive,898,90.6,0.662,0.636,0.866,0.7577
ICEY,action,budget,very_positive,18605,91.3,0.587,0.623,0.91,0.7574
MXGP3 - The Official Motocross Videogame,racing,mid_price,mostly_positive,404,78.7,0.817,0.674,0.769,0.7573
Full Mojo Rampage,action,mid_price,very_positive,1138,85.3,0.708,0.658,0.831,0.7569
Moss,adventure,mid_price,very_positive,577,92.0,0.689,0.617,0.86,0.7566
64.0,indie,budget,very_positive,896,90.7,0.669,0.624,0.867,0.7565
QUAKE,fps,budget,overwhelmingly_positive,2754,95.1,0.582,0.583,0.93,0.7565
Alan Wake,action,mid_price,very_positive,25125,91.4,0.609,0.593,0.912,0.7565
Stories Untold,adventure,budget,very_positive,2498,87.9,0.67,0.626,0.865,0.7564
THE KING OF FIGHTERS 2002 UNLIMITED MATCH,fighting,mid_price,very_positive,981,92.0,0.635,0.631,0.879,0.7563
Shadow Complex Remastered,action,mid_price,mostly_positive,642,84.4,0.727,0.673,0.813,0.7563
Lone Survivor: The Director's Cut,horror,mid_price,very_positive,1172,86.9,0.643,0.694,0.844,0.7563
War Brokers,massively_multiplayer,budget,mostly_positive,51,84.3,0.776,0.73,0.759,0.7562
Serious Sam VR: The First Encounter,action,mid_price,mostly_positive,401,84.3,0.727,0.695,0.801,0.7562
Stardust Vanguards,local_multiplayer,budget,mostly_positive,96,80.2,0.776,0.73,0.759,0.756
Russian Subway Dogs,indie,mid_price,very_positive,119,98.3,0.721,0.677,0.813,0.756
Knight Squad,action,mid_price,very_positive,293,85.7,0.727,0.695,0.8,0.7558
Tattletail,horror,budget,very_positive,1492,89.5,0.666,0.616,0.87,0.7554
METAL GEAR SOLID V: GROUND ZEROES,stealth,mid_price,mostly_positive,9645,82.5,0.678,0.699,0.822,0.7552
TowerClimb,indie,mid_price,very_positive,272,90.8,0.76,0.615,0.823,0.755
Rampage Knights,action,budget,very_positive,2490,92.4,0.587,0.623,0.905,0.7549
Holdfast: Nations At War,historical,mid_price,very_positive,5095,85.5,0.657,0.666,0.848,0.7549
PARTICLE MACE,indie,budget,very_positive,1324,89.0,0.669,0.624,0.863,0.7547
Viking Squad,action,mid_price,very_positive,183,88.5,0.727,0.695,0.798,0.7547
Vector 36,racing,mid_price,mostly_positive,189,79.9,0.817,0.668,0.766,0.7542
Hard Time,violent,budget,mostly_positive,69,79.7,0.776,0.73,0.755,0.754
"Guns, Gore & Cannoli",action,budget,very_positive,1775,93.0,0.587,0.623,0.903,0.7539
Wolfenstein 3D,fps,budget,overwhelmingly_positive,1860,95.3,0.582,0.583,0.924,0.7535
Bleed,action,budget,very_positive,1755,93.2,0.587,0.617,0.904,0.7533
The friends of Ringo Ishikawa,action,mid_price,very_positive,347,87.3,0.727,0.658,0.814,0.7533
River City Ransom: Underground,beat_em_up,mid_price,mostly_positive,1710,75.1,0.773,0.738,0.751,0.7532
Serious Sam's Bogus Detour,action,mid_price,very_positive,262,85.1,0.727,0.695,0.795,0.7529
Scrap Mechanic,building,mid_price,mostly_positive,17974,84.5,0.657,0.666,0.844,0.7526
Bayonetta,action,mid_price,very_positive,9709,91.3,0.609,0.585,0.908,0.7524
Dino Run DX,indie,budget,very_positive,639,92.3,0.669,0.607,0.866,0.7522
Ultimate Doom,classic,budget,very_positive,3962,93.5,0.582,0.583,0.922,0.7522
Quake Live™,fps,budget,mostly_positive,12183,83.9,0.7,0.634,0.837,0.7521
Aaero,indie,mid_price,very_positive,449,86.4,0.76,0.615,0.816,0.7519
Time Warpers,action,mid_price,very_positive,162,93.2,0.727,0.658,0.811,0.7517
Grand Theft Auto: Vice City,open_world,budget,very_positive,10636,92.3,0.582,0.588,0.918,0.7515
Remnants of Naezith,indie,budget,very_positive,273,97.8,0.669,0.624,0.856,0.7512
Far Cry 3 - Blood Dragon,fps,mid_price,very_positive,10539,88.1,0.635,0.616,0.877,0.7512
Smashbox Arena,shooter,mid_price,very_positive,397,96.2,0.635,0.631,0.869,0.751
Witch It,action,mid_price,very_positive,2919,90.3,0.609,0.617,0.888,0.7505
Ratz Instagib,indie,budget,very_positive,2505,85.4,0.669,0.647,0.843,0.7504
Princess Remedy 2: In A Heap of Trouble,indie,budget,very_positive,267,97.8,0.669,0.624,0.855,0.7504
GRID Autosport,racing,mid_price,mostly_positive,6579,75.5,0.817,0.674,0.755,0.7501
IS Defense,action,budget,very_positive,1066,94.1,0.587,0.617,0.898,0.75
Shuyan Saga™,action,mid_price,very_positive,294,87.1,0.727,0.658,0.807,0.75
AMID EVIL,action,mid_price,overwhelmingly_positive,592,98.3,0.609,0.585,0.903,0.7499
Dark Messiah of Might & Magic,rpg,budget,very_positive,4702,93.3,0.611,0.545,0.922,0.7498
Bulletstorm: Full Clip Edition,action,mid_price,mostly_positive,1632,82.5,0.708,0.665,0.813,0.7497
RAGE,fps,budget,mostly_positive,12276,76.5,0.79,0.677,0.765,0.7492
Slime-san: Superslime Edition,indie,mid_price,very_positive,210,87.6,0.721,0.677,0.799,0.7491
Race The Sun,racing,budget,very_positive,5601,93.9,0.542,0.597,0.929,0.7491
Mega Man 11 / ロックマン11 運命の歯車!!,action,mid_price,very_positive,1630,93.0,0.609,0.585,0.901,0.749
Party Hard 2,indie,mid_price,mostly_positive,625,84.2,0.76,0.615,0.81,0.7489
Fight'N Rage,action,mid_price,very_positive,792,93.8,0.609,0.617,0.885,0.7489
Ding Dong XL,indie,budget,very_positive,228,99.1,0.669,0.624,0.851,0.7489
Unworthy,action,mid_price,very_positive,268,86.2,0.708,0.687,0.8,0.7489
Asterix & Obelix XXL 2,adventure,mid_price,mostly_positive,106,77.4,0.788,0.701,0.753,0.7487
Infested Planet,strategy,mid_price,very_positive,2081,93.9,0.5,0.664,0.915,0.7483
DEMON'S TILT,action,mid_price,very_positive,79,93.7,0.727,0.695,0.785,0.7482
DOOM II,classic,budget,very_positive,2699,93.3,0.582,0.583,0.914,0.7482
Indie Pogo,indie,mid_price,very_positive,194,90.7,0.76,0.615,0.809,0.7481
Pacify,horror,budget,very_positive,1508,87.7,0.666,0.616,0.855,0.748
ENSLAVED™: Odyssey to the West™ Premium Edition,adventure,mid_price,mostly_positive,4327,85.0,0.689,0.617,0.843,0.748
Bunker Punks,action,mid_price,mostly_positive,250,83.2,0.727,0.695,0.785,0.7479
Chicken Invaders 4,indie,budget,very_positive,247,97.6,0.669,0.624,0.849,0.7478
Old School Musical,adventure,mid_price,very_positive,318,93.4,0.689,0.617,0.842,0.7476
OMG Zombies!,zombies,budget,mostly_positive,335,80.3,0.79,0.649,0.776,0.7475
Basingstoke,action,mid_price,very_positive,113,88.5,0.727,0.695,0.783,0.7473
Intake,indie,budget,very_positive,375,93.1,0.669,0.624,0.848,0.7473
Revhead,racing,mid_price,mostly_positive,209,76.1,0.817,0.668,0.752,0.7471
Dishonored 2,stealth,mid_price,mostly_positive,26081,80.6,0.678,0.699,0.805,0.7468
I Hate Running Backwards,action,mid_price,very_positive,106,88.7,0.727,0.695,0.782,0.7467
Warhammer: End Times - Vermintide,action,mid_price,mostly_positive,17465,79.6,0.708,0.687,0.795,0.7464
Space Beast Terror Fright,action,mid_price,very_positive,719,93.6,0.609,0.617,0.88,0.7463
Jet Island,action,mid_price,very_positive,444,97.1,0.609,0.617,0.88,0.7463
Spooky's Jump Scare Mansion: HD Renovation,indie,budget,very_positive,371,92.2,0.669,0.631,0.843,0.7463
Door Kickers: Action Squad,action,mid_price,very_positive,887,92.4,0.609,0.617,0.879,0.7459
6180 the moon,indie,budget,very_positive,441,91.4,0.669,0.624,0.846,0.7459
Killer Instinct,fighting,mid_price,very_positive,1476,88.1,0.635,0.631,0.858,0.7458
Castlevania: Lords of Shadow – Ultimate Edition,action,mid_price,mostly_positive,4780,80.1,0.708,0.68,0.797,0.7458
Super Hydorah,indie,mid_price,very_positive,105,97.1,0.76,0.615,0.804,0.7456
Brief Karate Foolish,horror,free,very_positive,2155,94.1,0.666,0.483,0.917,0.7456
Freedom Fall,indie,budget,very_positive,359,92.8,0.669,0.624,0.845,0.7454
Zombotron,action,mid_price,very_positive,167,89.2,0.727,0.658,0.798,0.7452
Super Puzzle Platformer Deluxe,indie,budget,very_positive,400,91.8,0.669,0.624,0.844,0.745
The Fall Part 2: Unbound,action,mid_price,very_positive,230,86.5,0.727,0.658,0.797,0.745
Akane,action,budget,very_positive,433,98.2,0.587,0.623,0.885,0.7449
Bad North,action,mid_price,mostly_positive,866,79.0,0.727,0.695,0.778,0.7448
Primal Carnage,dinosaurs,budget,mostly_positive,5770,77.1,0.79,0.649,0.769,0.7444
Return to Castle Wolfenstein,fps,budget,very_positive,3360,91.8,0.582,0.588,0.904,0.7443
No Time To Explain Remastered,indie,mid_price,mostly_positive,1948,79.6,0.721,0.677,0.789,0.7441
LEGO® Batman™: The Videogame,lego,mid_price,mostly_positive,1292,81.3,0.678,0.699,0.8,0.7441
So Many Me,indie,mid_price,very_positive,90,93.3,0.721,0.677,0.789,0.7439
Tom Clancy's Splinter Cell Chaos Theory®,stealth,budget,very_positive,1917,92.7,0.582,0.588,0.902,0.7437
Prototype™,action,mid_price,mostly_positive,4606,80.4,0.708,0.665,0.8,0.7433
Deep Sixed,action,mid_price,very_positive,80,88.8,0.727,0.695,0.775,0.7432
ULTIMATE MARVEL VS. CAPCOM 3,fighting,mid_price,very_positive,1587,87.3,0.635,0.631,0.853,0.7431
Bullet Sorrow VR,action,mid_price,very_positive,260,86.2,0.708,0.665,0.799,0.7429
Floor Kids,action,mid_price,mostly_positive,127,84.3,0.727,0.695,0.774,0.7427
Verlet Swing,indie,mid_price,very_positive,71,95.8,0.721,0.677,0.786,0.7425
Velocibox,indie,budget,very_positive,595,88.6,0.669,0.624,0.839,0.7424
Nex Machina,twin_stick_shooter,mid_price,very_positive,1354,87.5,0.635,0.631,0.852,0.7424
Heart&Slash,indie,mid_price,mostly_positive,369,81.8,0.721,0.677,0.786,0.7424
Serious Sam VR: The Second Encounter,action,mid_price,very_positive,108,85.2,0.727,0.695,0.773,0.7423
Shotgun Farmers,indie,budget,very_positive,598,88.5,0.669,0.624,0.838,0.7422
Splatter - Zombie Apocalypse,action,budget,very_positive,2060,90.2,0.587,0.617,0.882,0.7421
AIRHEART - Tales of broken Wings,action,mid_price,very_positive,107,85.0,0.727,0.695,0.773,0.742
Way of the Passive Fist,action,mid_price,very_positive,67,89.6,0.727,0.695,0.773,0.7419
Rage in Peace,indie,mid_price,very_positive,87,92.0,0.721,0.677,0.784,0.7418
"Linea, the Game",indie,budget,very_positive,839,87.0,0.669,0.624,0.837,0.7417
The Expendabros,free_to_play,free,overwhelmingly_positive,15509,97.3,0.514,0.516,0.968,0.7417
Mulaka,indie,mid_price,very_positive,91,91.2,0.721,0.677,0.784,0.7416
Sunset Overdrive,action,mid_price,very_positive,2695,89.8,0.609,0.592,0.883,0.7416
UBERMOSH,action,budget,very_positive,1960,89.8,0.587,0.623,0.878,0.7415
Guacamelee! 2,action,mid_price,very_positive,641,94.7,0.609,0.592,0.883,0.7414
SEPTEMBER 1999,indie,free,very_positive,870,89.4,0.649,0.604,0.856,0.7411
Sniper Elite 3,sniper,mid_price,mostly_positive,16034,79.4,0.678,0.699,0.793,0.7409
QUAKE II,fps,budget,very_positive,1476,92.8,0.582,0.588,0.897,0.7408
The Long Reach,action,mid_price,very_positive,147,87.8,0.727,0.658,0.789,0.7407
Murder Miners,indie,budget,mostly_positive,5113,84.0,0.669,0.624,0.835,0.7405
Captain Forever Remix,indie,mid_price,mostly_positive,275,82.2,0.721,0.677,0.782,0.7405
House of the Dying Sun,action,mid_price,very_positive,1109,90.1,0.609,0.617,0.868,0.7402
Counter-Strike: Condition Zero,action,budget,very_positive,13559,89.4,0.531,0.648,0.891,0.7401
SUPERHOT VR,action,mid_price,very_positive,2272,88.3,0.609,0.617,0.867,0.74
Mechanic Escape,indie,budget,very_positive,755,86.9,0.669,0.624,0.834,0.74
POSTAL Redux,action,budget,very_positive,1279,90.5,0.587,0.623,0.874,0.7396
Chicken Invaders 5,action,budget,very_positive,451,96.5,0.587,0.617,0.877,0.7395
Tiny Barbarian DX,action,mid_price,mostly_positive,203,84.7,0.727,0.658,0.786,0.7395
Serial Cleaner,action,mid_price,mostly_positive,429,78.3,0.727,0.695,0.768,0.7394
Sairento VR,action,mid_price,very_positive,1053,90.0,0.609,0.617,0.866,0.7393
Aztez,action,mid_price,mostly_positive,110,82.7,0.727,0.695,0.767,0.7392
Monsters and Monocles,action,mid_price,mostly_positive,97,83.5,0.727,0.695,0.767,0.7392
Arizona Sunshine,zombies,mid_price,very_positive,3714,85.2,0.635,0.633,0.844,0.7391
Reveal The Deep,indie,budget,mostly_positive,1275,84.8,0.669,0.631,0.828,0.739
Super Bunny Man,action,mid_price,mostly_positive,166,84.3,0.708,0.687,0.78,0.7388
Anarcute,cute,mid_price,very_positive,299,94.3,0.635,0.631,0.844,0.7386
The Textorcist: The Story of Ray Bibbia,indie,mid_price,very_positive,103,87.4,0.721,0.677,0.778,0.7386
TANGLEWOOD®,action,mid_price,very_positive,58,98.3,0.727,0.658,0.784,0.7382
Breathing Fear,horror,budget,mostly_positive,197,84.8,0.856,0.525,0.786,0.7381
Wolfenstein: The Old Blood,action,mid_price,very_positive,7489,88.5,0.609,0.585,0.88,0.7381
Drifting Lands,indie,mid_price,mostly_positive,225,81.8,0.721,0.677,0.776,0.7377
Zombie Kill of the Week - Reborn,action,budget,very_positive,799,92.1,0.587,0.617,0.873,0.7376
ARENA GODS®,action,mid_price,very_positive,90,86.7,0.727,0.676,0.773,0.7374
Evoland Legendary Edition,action,mid_price,very_positive,114,87.7,0.727,0.658,0.782,0.7371
Rez Infinite,action,mid_price,very_positive,639,91.5,0.609,0.617,0.861,0.7369
Worbital,action,mid_price,very_positive,92,90.2,0.727,0.656,0.782,0.7369
Volcanoids,survival,mid_price,mostly_positive,368,80.4,0.773,0.618,0.778,0.7368
Kung Fury: Street Rage,action,budget,very_positive,2213,90.2,0.531,0.648,0.884,0.7366
PAC-MAN 256,action,budget,very_positive,892,90.9,0.587,0.623,0.868,0.7364
Die for Valhalla!,action,mid_price,mostly_positive,70,82.9,0.727,0.695,0.761,0.7361
RefRain - prism memories -,indie,mid_price,very_positive,55,100.0,0.76,0.615,0.785,0.736
Sumoman,action,mid_price,mostly_positive,217,82.5,0.727,0.658,0.779,0.7357
Far Cry® 4,open_world,mid_price,mostly_positive,21822,78.3,0.678,0.699,0.782,0.7353
10 Second Ninja,indie,budget,very_positive,685,85.8,0.669,0.624,0.824,0.7351
Circa Infinity,indie,budget,very_positive,208,93.8,0.669,0.624,0.824,0.7351
Penumbra: Black Plague Gold Edition,horror,free,very_positive,1475,94.6,0.571,0.544,0.912,0.735
Salty Fish Go!,action,budget,very_positive,810,91.1,0.587,0.62,0.866,0.735
Time Recoil,action,mid_price,mostly_positive,62,82.3,0.727,0.695,0.758,0.7348
Wyv and Keep: The Temple of the Lost Idol,action,mid_price,mostly_positive,74,81.1,0.727,0.695,0.758,0.7347
Harvester,horror,budget,very_positive,625,91.4,0.666,0.554,0.859,0.7346
Drunk On Nectar - The Nature Simulator,action,mid_price,mostly_positive,53,83.0,0.727,0.695,0.758,0.7346
Flinthook,action,mid_price,mostly_positive,594,76.4,0.727,0.695,0.758,0.7346
Zero G Arena,action,budget,very_positive,749,91.6,0.587,0.617,0.867,0.7346
Stellar Interface,indie,mid_price,very_positive,84,85.7,0.721,0.677,0.77,0.7344
Shank,action,budget,very_positive,1976,88.5,0.587,0.617,0.867,0.7344
DEAD RISING®,action,mid_price,very_positive,1785,89.4,0.609,0.585,0.872,0.7344
Super Fancy Pants Adventure,indie,budget,very_positive,462,87.2,0.669,0.624,0.822,0.7343
MX vs. ATV Reflex,racing,mid_price,mostly_positive,1958,81.7,0.666,0.657,0.807,0.7343
State of Anarchy,indie,budget,mostly_positive,939,84.7,0.669,0.624,0.822,0.7342
Lost Castle,action,budget,very_positive,13322,89.6,0.531,0.619,0.892,0.7336
Mirror's Edge™,parkour,budget,very_positive,20221,88.4,0.582,0.588,0.882,0.7336
Dead Rising 2: Off the Record,action,mid_price,mostly_positive,1763,78.7,0.708,0.665,0.781,0.7336
Bleed 2,action,budget,very_positive,421,95.0,0.587,0.617,0.865,0.7335
NeuroVoider,indie,mid_price,mostly_positive,404,78.5,0.721,0.677,0.768,0.7335
Light Fall,indie,mid_price,very_positive,55,89.1,0.721,0.677,0.768,0.7335
DESYNC,action,mid_price,mostly_positive,352,79.0,0.708,0.687,0.769,0.7334
DYNASTY WARRIORS 7: Xtreme Legends Definitive Edition / 真・三國無双６ with 猛将伝 DX,action,mid_price,mostly_positive,202,83.2,0.708,0.665,0.78,0.7333
The Dishwasher: Vampire Smile,action,budget,very_positive,430,94.7,0.587,0.617,0.864,0.733
UBERMOSH Vol.7,indie,mid_price,very_positive,50,98.0,0.76,0.615,0.779,0.733
EARTH'S DAWN,action,mid_price,mostly_positive,134,82.1,0.708,0.687,0.769,0.733
Space Bob vs. The Replicons,action,mid_price,very_positive,62,88.7,0.727,0.665,0.769,0.7329
Park Bound,action,mid_price,very_positive,69,85.5,0.727,0.673,0.766,0.7328
Kick Ass Commandos,action,budget,very_positive,377,95.8,0.587,0.617,0.863,0.7328
In Death,action,mid_price,very_positive,504,91.7,0.609,0.617,0.853,0.7327
BossConstructor,action,mid_price,mostly_positive,182,76.9,0.727,0.695,0.754,0.7327
CASE: Animatronics,horror,budget,mostly_positive,1143,83.8,0.666,0.627,0.819,0.7327
TY the Tasmanian Tiger 2,action,mid_price,very_positive,348,96.8,0.609,0.592,0.865,0.7326
Painkiller Hell & Damnation,action,mid_price,mostly_positive,2919,76.7,0.727,0.673,0.765,0.7326
Woodpunk,action,mid_price,mostly_positive,120,77.5,0.727,0.695,0.754,0.7325
LASTFIGHT,action,mid_price,mostly_positive,67,79.1,0.727,0.695,0.754,0.7324
Need For Speed: Hot Pursuit,racing,mid_price,mostly_positive,14180,80.4,0.666,0.657,0.803,0.7323
Remember Me,cyberpunk,mid_price,mostly_positive,10895,83.3,0.635,0.631,0.831,0.7321
Upside Down,indie,budget,very_positive,389,87.4,0.669,0.624,0.818,0.7321
Heavy Bullets,indie,budget,mostly_positive,1136,83.7,0.669,0.624,0.818,0.7321
Pivvot,indie,budget,very_positive,224,91.5,0.669,0.624,0.818,0.7321
Mega Coin Squad,indie,mid_price,mostly_positive,76,84.2,0.721,0.677,0.765,0.732
Carmageddon: Max Damage,action,mid_price,mostly_positive,1703,76.2,0.777,0.633,0.759,0.732
Vox Machinae,action,mid_price,very_positive,436,92.4,0.609,0.617,0.851,0.732
Void Invaders,indie,budget,very_positive,311,88.7,0.669,0.624,0.818,0.7319
Lovers of Aether,horror,free,overwhelmingly_positive,680,95.7,0.571,0.572,0.892,0.7319
Undead Development,indie,mid_price,mostly_positive,149,83.9,0.76,0.615,0.776,0.7318
Combat Core,action,mid_price,mostly_positive,53,79.2,0.727,0.695,0.752,0.7318
Outcast - Second Contact,adventure,mid_price,very_positive,330,87.0,0.689,0.617,0.81,0.7317
Tom Clancy's Rainbow Six® Siege,fps,mid_price,mostly_positive,310798,80.8,0.657,0.653,0.808,0.7316
BUTCHER,action,budget,very_positive,608,91.3,0.587,0.623,0.857,0.7312
ECHOPLEX,indie,mid_price,very_positive,56,85.7,0.721,0.677,0.763,0.731
TERRORHYTHM (TRRT) - Rhythm driven action beat 'em up!,action,mid_price,mostly_positive,59,78.0,0.727,0.695,0.751,0.731
Boulder Dash - 30th Anniversary,action,mid_price,mostly_positive,54,77.8,0.727,0.695,0.75,0.7307
Tasty Planet: Back for Seconds,indie,budget,very_positive,240,89.6,0.662,0.636,0.812,0.7307
Rosenkreuzstilette Freudenstachel,indie,mid_price,very_positive,60,91.7,0.76,0.615,0.774,0.7306
Strikers Edge,action,mid_price,mostly_positive,77,76.6,0.727,0.695,0.749,0.7304
Mindball Play,action,mid_price,mostly_positive,66,84.8,0.727,0.666,0.764,0.7303
The Cat Lady,horror,budget,very_positive,3692,93.3,0.575,0.507,0.919,0.7301
Greedy Guns,action,mid_price,very_positive,59,88.1,0.727,0.658,0.768,0.7301
Wulverblade,indie,mid_price,very_positive,63,90.5,0.76,0.615,0.773,0.7301
Impulsion,indie,mid_price,very_positive,63,90.5,0.76,0.615,0.773,0.7301
COMPOUND,action,mid_price,very_positive,240,97.5,0.609,0.617,0.847,0.73
Fairy Bloom Freesia,anime,budget,very_positive,1021,86.4,0.582,0.664,0.837,0.7299
INK,indie,budget,mostly_positive,1496,82.7,0.669,0.624,0.813,0.7298
Samurai Riot,action,mid_price,very_positive,53,88.7,0.727,0.658,0.766,0.7296
99Vidas,indie,budget,very_positive,321,87.5,0.669,0.624,0.812,0.7294
Five Nights at Freddy's 4,horror,budget,very_positive,6855,92.6,0.575,0.505,0.918,0.7292
Life is Strange - Episode 1,choices_matter,free,overwhelmingly_positive,123130,96.3,0.401,0.59,0.963,0.7292
Alchemist's Awakening,indie,mid_price,mostly_positive,291,79.7,0.76,0.615,0.771,0.7291
Masochisia,indie,budget,very_positive,308,87.0,0.669,0.631,0.808,0.7291
TumbleSeed,indie,mid_price,mostly_positive,175,78.3,0.721,0.677,0.759,0.7291
Forsaken Remastered,action,mid_price,very_positive,64,85.9,0.727,0.658,0.765,0.729
Grass Cutter - Mutated Lawns,indie,budget,very_positive,228,89.9,0.669,0.624,0.812,0.729
Rats - Time is running out!,indie,budget,very_positive,276,88.4,0.669,0.624,0.812,0.729
Tom Clancy's Rainbow Six® 3 Gold,tactical,budget,very_positive,882,92.0,0.582,0.583,0.875,0.7289
Unreal Gold,classic,budget,very_positive,1360,90.3,0.582,0.583,0.874,0.7285
NOT A HERO,action,budget,very_positive,1748,87.4,0.587,0.617,0.855,0.7285
Scrap Garden - The Day Before,adventure,free,mostly_positive,793,75.7,0.812,0.595,0.753,0.7284
Pathologic Classic HD,survival,budget,mostly_positive,993,84.9,0.79,0.474,0.825,0.7283
Root Of Evil: The Tailor,indie,budget,very_positive,336,86.0,0.669,0.631,0.806,0.7278
Silver,rpg,budget,very_positive,273,91.6,0.645,0.613,0.826,0.7278
Space Grunts,indie,mid_price,mostly_positive,71,80.3,0.721,0.677,0.756,0.7277
Commander Cool 2,action,budget,very_positive,1048,88.4,0.587,0.617,0.853,0.7275
The Evil Within,horror,mid_price,mostly_positive,12944,81.7,0.599,0.679,0.816,0.7275
MOMO.EXE,indie,budget,very_positive,313,86.3,0.669,0.631,0.805,0.7274
Way of the Samurai 3,action,mid_price,mostly_positive,265,77.7,0.708,0.68,0.76,0.7273
The World Next Door,action,mid_price,very_positive,54,85.2,0.727,0.658,0.761,0.7271
Unfortunate Spacemen,indie,mid_price,mostly_positive,195,80.0,0.76,0.615,0.767,0.7271
Dead Horizon,indie,free,very_positive,232,95.3,0.649,0.589,0.836,0.7271
UBERMOSH Vol.3,indie,budget,very_positive,180,91.1,0.669,0.624,0.807,0.7268
Flight Control HD,action,budget,very_positive,442,91.9,0.587,0.623,0.848,0.7267
HoloBall,action,mid_price,very_positive,430,91.6,0.609,0.606,0.846,0.7266
JJBoom,indie,budget,very_positive,163,92.0,0.669,0.624,0.807,0.7265
Camp Sunshine,indie,budget,very_positive,194,90.2,0.669,0.624,0.807,0.7265
White Noise 2,horror,budget,mostly_positive,2181,82.1,0.666,0.616,0.812,0.7264
kuso,indie,budget,very_positive,121,95.9,0.669,0.624,0.807,0.7264
Beyond Gravity,action,budget,very_positive,888,88.6,0.587,0.617,0.851,0.7264
Blood: One Unit Whole Blood,fps,budget,very_positive,1135,90.3,0.582,0.583,0.87,0.7263
Star Shelter,adventure,mid_price,very_positive,191,88.5,0.689,0.617,0.799,0.7262
MegaSphere,indie,mid_price,mostly_positive,95,77.9,0.721,0.677,0.753,0.7262
Wings of Vi,platformer,mid_price,mostly_positive,982,84.1,0.635,0.631,0.819,0.726
Angry Video Game Nerd II: ASSimilation,action,budget,very_positive,549,90.7,0.587,0.617,0.85,0.726
Dark Deception,horror,free,very_positive,1079,89.1,0.666,0.52,0.859,0.7259
Quake IV,fps,mid_price,mostly_positive,1062,83.9,0.635,0.631,0.818,0.7258
Zombasite,action,mid_price,mostly_positive,139,77.7,0.727,0.665,0.755,0.7257
The Deadly Tower of Monsters,action,mid_price,very_positive,1034,88.2,0.609,0.592,0.851,0.7257
Ultratron,action,budget,very_positive,605,90.1,0.587,0.617,0.849,0.7257
Diamo XL,action,budget,very_positive,287,95.8,0.587,0.617,0.849,0.7257
On A Roll 3D,indie,budget,very_positive,230,88.3,0.669,0.624,0.805,0.7256
Dashy Square,indie,budget,very_positive,177,89.8,0.662,0.636,0.802,0.7256
Warden: Melody of the Undergrowth,action,mid_price,mostly_positive,58,82.8,0.727,0.658,0.759,0.7256
Blade Ballet,indie,mid_price,mostly_positive,70,84.3,0.76,0.615,0.764,0.7255
Overload Playable Teaser 3.0,action,free,very_positive,634,94.6,0.571,0.567,0.882,0.7254
The Brookhaven Experiment,action,mid_price,very_positive,757,87.5,0.609,0.617,0.838,0.7253
Project Warlock,gore,mid_price,very_positive,354,87.9,0.635,0.631,0.817,0.7253
Tallowmere,action,budget,very_positive,623,93.3,0.531,0.626,0.872,0.7252
Feudal Alloy,indie,mid_price,mostly_positive,208,76.0,0.721,0.677,0.751,0.7251
Katamari Damacy REROLL,action,mid_price,very_positive,617,90.6,0.609,0.585,0.853,0.725
Windscape,adventure,mid_price,very_positive,165,89.1,0.689,0.617,0.797,0.7249
Doorways: Holy Mountains of Flesh,horror,mid_price,mostly_positive,380,84.7,0.643,0.652,0.802,0.7249
F1 2014,racing,mid_price,mostly_positive,1430,77.8,0.713,0.641,0.773,0.7249
Onimusha: Warlords / 鬼武者,action,mid_price,very_positive,425,92.9,0.609,0.585,0.853,0.7249
Wick,horror,budget,mostly_positive,429,84.6,0.666,0.622,0.805,0.7245
Transmissions: Element 120,free_to_play,free,very_positive,8417,94.0,0.514,0.516,0.934,0.7245
NO THING,indie,budget,very_positive,224,87.9,0.669,0.624,0.803,0.7244
Dungreed,action,budget,very_positive,2409,87.3,0.531,0.648,0.859,0.7243
Stealth Inc 2: A Game of Clones,indie,mid_price,mostly_positive,848,76.7,0.76,0.615,0.761,0.7242
STASIS,adventure,budget,mostly_positive,1129,81.5,0.67,0.626,0.8,0.7242
Runner3,indie,mid_price,mostly_positive,124,75.8,0.721,0.677,0.749,0.7241
Penguins Arena: Sedna's World,action,budget,very_positive,1031,87.5,0.587,0.617,0.846,0.7239
